id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
8da14f27-b678-473d-bc2d-e1e44e28d8a8,Wave V in BERA corresponds to -,Inferior colliculus,Lateral lemniscus,Cochlear nucleus,Eighth-nerve,1,single,Ans- B Waves of BERA can be remembered by auditory pathway. WAVE 1-Distal part of 8th nerve WAVE 2-Proximal part of 8th nerve WAVE 3-Cochlear nucleus(lower pons) WAVE 4-Superior Olivary Nucleus WAVE 5-Lateral Lemniscus WAVE 6-Inferior colliculus WAVE 5 is most reliable most rhobust and reproducible and last wave to disappear i low intensity. Reember auditory pathway by SLIM Sup oli nucl-lateral LEMNISCUS-Inf Oli nucl-MEDIAL GENICULATE BODY. Mnemonic MGB-Music pathway LGB-Light pathway MGB-Music,ENT,Assessment of Vestibular Function
711ec2b6-2c92-4930-a8b7-077e017f6c6d,Which of the following shows the presence of cholesterol crystals:,Keratocyst,Periodontal cyst,Aneurysmal cyst,Hemorrhagic cyst,0,single,,Pathology,
ccd6e018-a344-4d29-bf7b-6113cd5125ab,Most common cause of sub arachnoid hemorrhage is -,Berry aneurysm rupture,Post traumatic,Hypertensive bleed,Coagulation disorder,1,single,"Ans. is 'b' i.e., Post traumatic Subarachnoid hemorrhage* Although aneurysms are the most common cause of spontaneous subarachnoid haemorrhage, trauma is by far the commonest cause of subarachnoid haemorrhage overall.* In rare cases, a spontaneous aneurysmal haemorrhage immediately precedes a head injury.* Traumatic subarachnoid haemorrhage is managed conservatively.""Excluding head trauma, most common cause of subarachnoid hemorrhage is rupture of a saccular (Berry) aneurysm--------- Harrison",Surgery,Nervous System
3e062b88-aece-420f-9a4d-db24fd72d79b,Which of the following is not a sign of active rickets ?,Prominent fontanelle,Hot cross bun sign,Saddle nose,Caries teeth,2,single,Saddle nose is not seen in rickets.,Pediatrics,
ae3b3603-665d-4fdc-9b8e-36023aa4719e,Chemotherapy for Retinoblastoma is,"Vincristine, Etoposide, Cisplatin","Vinblastine, Epirubicin, Cisplatin","Vincristine, Etopside, Cyclophosphamide","Vinblastine, Etoposide, Cisplatin",0,single,"VEC regimen - Vincristine, Etoposide, Cisplatin.",Ophthalmology,
3eb1f49e-e6ad-4d25-b0e7-5d4066297ab7,False about Leishmaniasis is,Aldehyde Test of Napier is a good test for diagnosis,Indian Leishmaniasis is a non-zoonotic infection with man as the sole reservoir,Co-infection with AIDS is now emerging,There are no drugs for personal prophylaxis,0,multi,"• In Scrub typhus the nymphal and adult stages of the mite are free living in nature, they do not feed on vertebrate hostst
• Larvae (chigger) feed on vertebrate hosts’ and pick up rickettsiae
• Larval stage ‘act as a both reservoir and a vector.’",Social & Preventive Medicine,
6dff61f5-01e4-4558-91ab-59b8373d035d,Mechanism of action of propylthiouracilin hypehyroidism is:,Inhibition of organification of iodine,Inhibition of oxidation of iodine,Inhibition of coupling of two DIT residues,All of the above,3,multi,"(Ref: KDT 6/e p248) Propylthiouracil, carbimazole and methimazole act by inhibiting the enzyme, thyroid peroxidase. It catalyses: Oxidation of iodine Organification Coupling",Anatomy,Other topics and Adverse effects
136a41a4-70bf-4a86-872e-35b8318f7d35,Burning feet syndrome is due to deficiency of ?,Niacin,Folic acid,Vitamin B12,Pantothenic acid,3,single,"Ans. is 'd' i.e., Pantothenic acid",Social & Preventive Medicine,
c25ee664-74dc-4330-9bfa-482f72c5b90b,Intrinsic muscles of the tongue are derived from:,2nd branchial cleft,Pharyngeal arch mesenchyme,Occipital somites,Cervical somites,2,single,"The occipital somites (four to five) give rise to muscles of the tongue. The tongue's embryonic origin is derived from first 4 pharyngeal arches contributing different components. Anterior 2/3rd or body of tongue is derived from 3 lingual buds the median tongue bud (tuberculum impar) and 2 lateral lingual swellings developing at each side of the median tongue bud. 2/3rd of the tongue originates from the first pharyngeal arch. Sensory innervation to this area is by the mandibular branch of the trigeminal nerve. (Taste sensation to the anterior 2/3rd of the tongue is provided by the chorda tympani branch of the facial nerve). Post 1/3rd or root of the tongue is formed from two median elevations. Ref: Human Embryology INDERBIR SINGH 6th Ed Page 98,156.",Anatomy,
0d9961cf-c604-42d0-a887-45597056d985,Which of the following ranges of hemoglobin O2 saturation from systemic venous to systemic arterial blood represents a normal resting condition?,25 to 75%,40 to 75%',40 to 95%,75 to 98%,3,single,"Ans. D. 75 to 98%In a normal resting condition, the blood leaving the lungs is 98% saturated with oxygen, and the blood returning to the lungs is 75% saturated with oxygen. With vigorous exercise, blood leaving the lungs is still 98% saturated, but blood returning is usually less than 75% saturated because more oxygen is unloaded from hemoglobin in exercising muscles.",Physiology,"Heart, Circulation, and Blood"
0e98bf9d-cd18-47fc-b02a-d719bf588194,A 40 year male presents with hematemesis. On examination his BP was 90/60 mmHg and Hea Rate was 120/min. Splenomegaly was also present. The most probable cause of his bleeding is:,Poal Hypeension,Gastric ulcer,Duodenal ulcer,Drug-induced GI injury,0,single,"Ans is 'a' i.e. Poal hypeension Among the given options, splenomegaly is most likely to be associated with Poal hypeension.",Surgery,
cff6d917-669a-4736-b93e-fc4aa7d39ab3,All are seen in chronic calcific pancreatitis except,Diabetes mellitus,Fat malabsorption,Hypercalcemia,Recurrent abdominal pain,2,multi,"Clinical features of Chronic pancreatitis Classical triad: DM +pancreatic calcification +steatorrhoea (DPS) Abdominal pain is the primary manifestation and MC symptom of CP Intensity, frequency & duration of pain gradually increase with worsening disease Pancreatic inflammation and fibrosis decrease the number and function of acinar cells At least 90% of the gland needa to be dysfunctional before steatorrhoea, diarrhoea and other symptoms of malabsorption develop Exocrine insufficiency occurs in 80-90% of patients with long standing CP Diabetes is developed in 40-80% of patients, typically occurs many years after the onset of abdominal pain and pancreatic Exocrine insufficiency Ref: Sabiston 20th edition Pgno :1531",Anatomy,G.I.T
36177d28-52fe-4e57-8984-dcd38090eada,Which of the following is not found in DiGeorge's syndrome?,Tetany,Eczema,Mucocutaneous candidiasis,Absence of T cells,1,single,Disease Primary defect Secondary defect DiGeorge Syndrome (Thymic Hypoplasia) 22q11 deletion Failure of development of 3rd & 4th pharyngeal pouches T-cell defect Tetany Congenital defects of hea and great vessels Mucocutaneous candidiasis,Pediatrics,Primary Immunodeficiency
13ffc99b-4526-49c6-b0b2-c2ea7a04620e,Which of the following is the main stimulator of production of eosinophils?,IL-1,IL-5,IL-4,IL-6,1,single,"IL-5 is required for the development and maturation of the eosinophil. TH2 cells produce IL-5, which stimulates the production of eosinophils in the marrow and activates eosinophils at sites of immune responses.",Pathology,Oxygen dependent bacterial killing
3bc8e7f3-2c18-40f0-9321-a460dcce2431,Babes Ernest granules are seen in:,Clostridium botulinium,Diptheria,Anthrax,Clostridium welchi,1,single,Diptheria,Microbiology,
3bdb51c0-3efd-466a-970a-5f17c0b3f9f2,A patient presents with postmenopausal bleed. Endometrial biopsy will be done if endometrial thickness is:,3 mm,5 mm,7 mm,8 mm,1,single,"Ans: (b) 5 mmRef: DC Dutta's Textbook of Gynecology, Page 561; Berek and Novak's Gynecology, Page 1978Causes of postmenopausal bleedingBenign conditionsMalignant conditions*. Senile endometritis*. Atrophic endometrium*. Dysfunctional uterine bleeding*. Uterine polyp*. Tubercular endometritis*. Cervical erosion and polyp*. Senile vaginitis*. Decubitus ulcer*. Retained and forgotten pessary or IUCD*. HRT*. Urethral caruncle, polypEndometrial hyperplasiaGenital malignancy-Carcinoma of the cervix, endometrium, vagina, vulva and Fallopian tube Granulosa cell tumor of the ovarySarcoma uterusOne-third of the cases of PMB are due malignancy, commonly due to endometrial and cervical carcinoma.Abnormal perimenopausal and postmenopausal bleeding should always be taken seriously and be properly investigated.Invasive tumors of the cervix, vagina and vulva are usually evident on local and Speculum examination and any lesion identified should be biopsied.If any visible cervical growth - biopsy is taken for histology.If cervix apparently looks normal - cervical and endocervical smear to exclude dysplasia or CIN.The possibility of uterine source of bleeding must always be eliminated.Uterine Causes of Postmenopausal BleedingCause of BleedingPercentage %Endometrial atrophy (Most common)60-80Estrogen replacement therapy15-25Endometrial polyps2-12Endometrial hyperplasia5-10Endometrial cancer10DIAGNOSIS OF UTERINE PATHOLOGYOffice endometrial aspiration biopsy is the accepted first step in evaluation of perimenopausalAUB or PMBDiagnostic accuracy is 90 - 98%.Endocervical curettage is performed at the time of endometrial biopsy if cervical pathology is suspected.Hysteroscopy and D&CReserved for cases of cervical stenosis, patient intolerance for OPD aspiration biopsy, bleeding recurs after a negative endometrial biopsy or if the specimen obtained is inadequate.Hysteroscopy is more accurate in identifying polyps and submucous myomas.Transvaginal sonography (TVS) is a useful adjunct to endometrial biopsy for selecting patients for further evaluationTVS +/-SIS (saline infusion sonography) - helps to distinguish between patients with postmenopausal atrophic endometrium and those with significant amount of endometrial tissue or polyps who need further evaluation.The finding of ET>4mm, a polypoid endometrial mass, or collection of fluid within the uterus requires further evaluation.Pap smear-Only 30% to 50% of patients with endometrial cancer have abnormal Pap test results.",Gynaecology & Obstetrics,Physiology & Histology
23d592df-da4e-4e14-b61f-376c1bae9571,True/False regarding pancreatitis- CECT is the IOC for acute pancreatitis. Modified Balthazar CT severity index score >6 indicates good prognosis. 'Duct penetrating sign' is seen in adenocarcinoma of pancreas. Colon cut off sign is seen in acute pancreatitis. IOC for chronic pancreatitis is MRCP.,TFFTT,FFFTT,TFFFF,FFFTT,0,multi,"Acute Pancreatitis - Imaging IOC - CECT - Radiological signs: Gasless abdomen: Because of repeated vomiting Colon cut off sign: Due to colonic spasm of transverse colon Sentinel Loop sign: Due to adjacent small bowel loop ileus Renal halo sign: On CT, perinephric fluid collection along with existing Perirenal fat gives a renal halo Chronic pancreatitis: - Has calcifications - On MRCP / ERCP Beaded / toures appearance of pancreatic duct String of Pearls / string of beads appearance Chain of lake appearance - On Braium - Reverse 3 sign of frostberg (also seen in Ca Head of Pancreas) Feature Pancreatic Adenocarcinoma Mass Forming Chronic Pancreatitis Enhancement Heterogenous enhancement Hypoenhancing Main Pancreatic DUCT (MPD) Duct cut off sign Duct penetrating sign MPD / gland ration >0.5 <0.5 Pancreatic parenchymal calcification Uncommon Common Intraductal calculi Absent Present",Radiology,Gastrointestinal Radiology
45561a98-34e4-46b7-a46e-cc39b9a31a71,"If you wanted to increase the penetrating quality of the x-ray beam, what machine setting(s) would you change?","Increase exposure time, mA, and kVp",Increase the mA and the kVp,Increase the mA,Increase the kVp,3,single,,Radiology,
67464d0c-ccc2-4d95-b07d-e104f4fa4e48,Right side of mediastinal shadow is NOT formed by: September 2012,Superior vena cava,Right innominate,Right atrium,Right ventricle,3,single,"Ans. D i.e. Right ventricle Radiology of hea Right border of hea is formed by: - SVC/ Right brachiocephalic vessels, - IVC and - Right atrium Left border of hea is formed by: - Left atrial appendage, - Left ventricle, - Aoic arch and - Pulmonary aery",Radiology,
ed47344b-3a6f-42f4-aad5-67db16fdd5c2,The hyaline membrane in the lung is seen in -,Respiratory distress syndrome,Pulmonary edema,Pneumococcal Pneumonia,Acute viral hepatitis,0,single,Respiratory distress syndrome,Unknown,
6edb81aa-32e5-4db2-a1f4-ce01621ddcd7,Triad of Wernicke's encehalopathy is all except,Global confusion,ophtalmoplegia,ataxia,hemiparesis,3,multi,"Wernickes encephalopathyis a triad of GLOBAL CONFUSION, OPHTHALMOPLEGIA AND ATAXIA It is due to deficiency of thiamine It is 100% reversible Most impoant symptom needed for the diagnosis is confusion If the patients wernickes encephalopathy is not trated it would result in koraskoff's psychosis koraskoff's psychosis is a misnomer it is associated with confabulation that is fluent plausible lying, where the patient fills up with memory gaps with information and she is not aware that wat is she is saying is not truth Ref.Kaplon and Sadock, synopsis of psychiatry, 11 th edition, Pg.No625",Anatomy,Substance abuse
e018b673-1c9e-46cb-b28b-71551dcd58b6,"""Brush-fire"" pattern is seen in -",CMV retinitis,Toxoplasmosis,Congenital rubella,Syphilis,0,single,"Ans. is 'a' i.e., CMV retinitis o CMV retinitis is the most common ophthalmic manifestation of CMV, occuring as a congenital infection in infants or an opportunistic infection in the immunocompromised host,o Adults commonly affected include those individuals with acquired immunodeficiency syndrome (AIDS), oncology patients, and patients on immunosuppresive therapy,o There is characteristic hemorrhagic, full thickness retinitis.o In early stage there are yellow-white exudates (areas of retinal necrosis) associated with areas of vasculitis and retinal hemorrhage.o There may be exudative retinal detachment and ultimately, there occurs total retinal atrophy.o There are three distinct variants of CMV retinitisClassical (fulminant) retinitisIt is necrotic retinitisLarge areas of retinal hemorrhage along a whitened, edematous or necrotic retina, usually in posterior pole in the distribution of nerve fiber layer along the vascular arcades.It is also known as ""Pizza-Pic retinopathy"" or ""cottage cheese with catchup"".Granular (indolent) retinitisWithout edema, hemorrhage or vascular sheathing, progressing along active border of retinal periphery.Perivascular retinitisFrosted branch angitis with retinal perivasculitis.o Another finding in CMV retinitis is a white granular geographic lesion that clears centrally as it enlarges, leaving a quiet central area of retinal atrophy and mottled pigment epithelium. This has also been described as ""brush-fire"" pattern.o It should be remembered that vitreous hemorrhage, though, is not common in CMV retinitis, it may occur after initiation of treatment of AIDS (HA ART).o In routine course there is no vireous hemorrhage or vitritis due to immunocompromised state of these patients. But, once the treatment of AIDS is started, their immune status may improve, and capable of producing inflammation. Which may cause vitritis and vitreous hemorrhageIMPORTANT FACTSSalt and Pepper fundusCongenital rubella, Congenital syphilis, Congenital leber amaurosis, Mayous Batten disease, Thioridazine toxicity.o Crumbled chees and ketchup appearance (sauce and cheese appearance)o Pizza pie appearanceo Brush fire appearance CMV retinitis o Satellite lesiono Head light in the fog appearanceToxoplasmosisHemorrhagic retinal necrosisHSV, toxoplasmosis, Bechet's retinitis, CRVO or branch vein occlusionMost common ocular infection in AIDS CMV Most common cause of chorioretinitis in AIDS Bull's eye retinopathy (maculopathy)Chloroquine, Phenothiazine, Bardet-Biedle syndrome, Batten disease, inverse retinitis, pigmentosa, Stargardt disease, Dystrophies, Chronic macular hole.Roth spotsBacterial endocarditis, Puerperal septicemiaSnowball opacities in vitreousPars planitis, Candidiasis, Sarcoidosis, Lyme disease",Ophthalmology,Inflammatory Disorders
ad339d19-6096-4fec-806b-a55ac4585d6e,Drug causing fixed drug eruption ?,Sulfonamide,Erythromycin,Aminoglycoside,None,0,multi,"Ans. is `a' i.e., Sulfonamide Drugs causing fixed drug eruption Paracetamol (Phenacetin) Sulfonamides NSAIDs Aspirin Barbiturates Dapsone Tetracyclines Phenylbutazone",Skin,
88f7d282-2a19-4041-bb8d-88c243bc670a,The uvr ABC endonuclease is involved in which one of the following processes?,DNA replication,RNA splicing,DNA repair,DNA recombination,2,single,"The uvrABC endonuclease is an enzyme that is in­volved in the repair of DNA that has been damaged by thymine dimer formation. It cuts a DNA strand on both sides of the thymine dimer, which allows the damaged region of DNA to be removed. DNA repair is completed by the action of DNA polymerase I, which fills in the gap with new DNA, and DNA ligase, which seals the remaining nick at the repaired area.",Unknown,
bc88879b-5238-4c60-b419-54d0c73f4366,Calcitriol causes all except,Increases renal tubular reabsorption of Ca2+,Reduce plasma Ca2+ concentration,Promotes intestinal absorption of Ca2+,Reduces Ca2+ resorption by bone,1,multi,"Calcitriol or 1,25 dihydroxycholecalciferol; a form of vitamin D used as a calcium regulator in the management of hypocalcemia in conditions such as rickets, osteodystrophy, hypoparathyroidism, and complications of renal dialysis; calcitriol promotes intestinal absorption of Ca2+, increases renal tubular reabsorption ofCa2+ and reduces Ca2+ resorption by bone.Ref: Ganong&;s review of medical physiology;24th edition; page no-380",Physiology,Endocrinology
ac5a5e28-f694-4b8c-ad95-b254fe620f26,Reissner membrane seperates:,Scala Vestibuli from Scala media,Scala tympani from scale Vestibuli,Scala tympani from Scala media,None of the above,0,multi,Reissner membrane separates scala vestibule from scala media.,Surgery,
1a683d1c-f8b6-4dcc-9c1f-dea03eb5fcd2,Mainlining is seen in which of the following drug abuse in which the patient will inject drug into main veins,Heroin,Cannabis,Cocaine,Morphine,3,single,Mainlining(SHIFT from peripheral to central vein injections) and skin popping(injecting SC) are seen in abuse of opioids opiod use is not a medical emergency like alcohol but opiod withdrawl is one of the ourite questions for examiners the famous quote that is used for describing opiod withdrawl is ALL ORIFICES BLEED WITH PUPILLARY DIALATION you need to inculcate the image of opiod withdrawl that is given in your mind to answer case scenario related questions. Ref: Essentials of postgraduate psychiatry By JN Vyas 1st ed Pg 338,Psychiatry,Substance abuse
5d9ef53a-6e29-4995-93af-c23560a6c0eb,If a woman is assaulted by her husband then he is charged under: FMGE 11,Sec. 498-A IPC,Sec. 304-A IPC,Sec. 304-B IPC,Sec. 504 IPC,0,single,Ans. Sec. 498-A IPC,Forensic Medicine,
6e6d12e0-20c6-49a0-93ac-e852495785e0,Gold standard investigation for chronic pancreatitis?,MRI,ERCP,Pancreatic function tests,Fecal fat estimation,1,single,"Answer- B. ERCPERCP has been considered the most sensitive radiologic test for the diagnosis of chronic pancreatitis, with specific ERCP findings that are highly correlative with the degree or stage of chronic disease.",Surgery,
e0d01b59-1d6b-4370-a61f-3ee31d27e7e9,Voyeurism is punished under,354 A IPC,354 B IPC,354 C IPC,354 D IPC,2,single,"Refer the byte ""Legal sections"".",Forensic Medicine,
cee46a79-3747-41f0-abe3-e0d59e685164,The most common secondary malignancy in a patient having retinoblastoma is,Osteosarcoma,Renal cell carcinoma,Pineoblastoma,Osteoblastoma,0,single,"Ref Robbins 9/e p293 Retinoblastoma is the most common primary intraocular malignancy of children . involvement of both eyes with pineal gland gland is called as trilateral retinoblastoma The pinealoblastoma in association with retinoblastoma is a primary tumor In approximately 40% of cases, retinoblastoma occurs in individuals who inherit a germ line mutation of one RB alleles .This variant of retinoblastoma is inherited as an autosomal dominant trait and is associated with osteosarcoma . Osteosarcoma is therefore the commonest secondary malignancy associated with retinoblastoma",Anatomy,General anatomy
6a3a58a1-d527-43f2-901e-d1791767961a,Model analysis indicated for 2 quadrants:,Hixon-old father,Peck and peck index,Pont's index,All of the above,3,multi,"Key Concept:
The question wants to ask about the analysis that can be performed in 2 quadrants i.e. in single arch either maxilla or mandible.  
Examples: 

Hixon - old father (mandibular arch)
Peck and peck index (mandibular arch)
Pont's index (maxillary arch)",Dental,
89b832c7-c963-4047-971d-96f914999d42,Chronic lymphoedema of the limb is predisposed to all of the following except,Thickenening of the skin,Recurrent soft tissue infections,Marjolin's ulcer,Sarcoma,2,multi,"Marjolin's ulcer: - Refers to the development of malignant ulcers over chronic scars most commonly those from burns. Malignancy is usually a squamous cell carcinoma and has not been mentioned as a complication of lymphoedema. Features of chronic lymphoedema of limb Initially, the lymphoedema is soft and pits on the pressure but with time the skin becomes thickened & non-pitting due to fibrosis, dermal thickening and hyperkeratosis. Frequent episodes of lymphangitis and cellulitis may occur. this is believed to be due to loss of local immune defence mechanism. Chronic eczema, a fungal infection of the skin (dermatophytosis) and nails (onychomycosis), fissuring, verrucae and papillae (was) are frequently seen in advanced disease. Rarely malignancy (lymphangiosarcoma or angiosarcoma) may occur in chronic lymphoedema. This neoplastic transformation of blood vessels and lymphatics is called Stewa - Treves syndrome.",Surgery,Vascular surgery
eeae81bf-4a78-4b80-b772-a95a3bef49aa,Which of the following is involved in tumor metastasis cascade:-,Fibronectin,E-Cadherin,Type IV collagenase,Tyrosine kinase,1,single,Ans. is 'b' i.e. E. cadherin For the tumor cells to metastasize they must-1st - detach from each other.Next - traverse the extracellular matrix (i. e. the basement membrane and interstitial connective tissue).Normally the cells are neatly glued to each other and their surrounding by a variety of adhesion molecules.Of these the E-Cadherin is most important. Any abnormality of E-cadherin molecule or down-regulation of its expression would lead to detachment of the cells from the primary tumor and move out for metastasis.,Medicine,General
7e1ba8e8-b8fc-44a9-af71-5b12bfdfb67f,"A 56-year-old lady, who is a known case of lung cancer, presents with vomiting, headache and seizures. Investigations reveal serum osmolarity of 265 mosm/L (normal is 285-295 mosm/L) and a serum sodium level of 125 mEq/L (normal value is 136-152 mEq/L). Urine osmolarity is greater than 100 mOsm/L She has normal water intake. Which of the following drugs is useful for this patient?",Acetazolamide,Hydrochlorothiazide,Triamterene,Tolvaptan,3,single,"Hyponatremia, Hypoosmolarity and inability to form dilute urine in the fully hydrated condition with concomitant lung cancer points to suspicion of SIADH. Antagonists of ADH are used to treat SIADH Tolvaptan - It is a direct ADH receptor antagonist. It is used for the correction of water retention and hyponatremia occurring in syndrome of inappropriate ADH secretion (SIADH) as well as in advanced CHF.",Pharmacology,Kidney
964770e1-d029-44e0-8a7e-acc7bb9f00c4,"According to school health services recommendations, a school should have -",1 urinal\/ 60 children and 1 privy for 100 children,1 urinal\/ 80 children and 1 privy for 150 children,1 urinal\/ 100 children and 1 privy for 100 children,1 urinal\/ 100 children and 1 privy for 200 children,0,single,"Provides and urinal should be provided, one urinal for 60 students and one latrine for 100 students. REF. PARK'S TEXTBOOK OF PREVENTIVE AND SOCIAL MEDICAL 21ST EDITION. PAGE NO - 534",Social & Preventive Medicine,"obstetrics,pediatrics and geriatrics"
fabe51b5-fc70-4411-8040-050d8a84404c,Dapagliflozin inhibits which glucose transpoer?,GLUT - 3,GLUT - 1,SGLT-2,GLUT - 2,2,single,SGLT-2. DAPAGLIFLOZIN An SGLT-2 inhibitor drug of gliflozin class. Used in type 2 diabetes treatment. MECHANISM OF ACTION: Glucose is reabsorbed completely in proximal tubules by sodium-glucose cotranspoer-2 . Dapagliflozin acts by inhibiting SGLT-2 transpoer.,Pharmacology,
